Timestamp,Steps
1464674400,70
1464674460,72
1464674520,72
1464674580,72
1464674640,72
1464674700,72
1464674760,72
1464674820,72
1464674880,72
1464674940,72
1464675000,72
1464675060,72
1464675120,72
1464675180,72
1464675240,72
1464675300,80
1464675360,93
1464675420,120
1464675480,100
1464675540,87
1464675600,75
1464675660,64
1464675720,60
1464675780,60
1464675840,60
1464675900,60
1464675960,60
1464676020,60
1464676080,73
1464676140,78
1464676200,78
1464676260,78
1464676320,78
1464676380,78
1464676440,90
1464676500,103
1464676560,123
1464676620,134
1464676680,135
1464676740,167
1464676800,167
1464676860,145
1464676920,134
1464676980,120
1464677040,112
1464677100,120
1464677160,104
1464677220,97
1464677280,80
1464677340,87
1464677400,88
1464677460,90
1464677520,95
1464677580,76
1464677640,74
1464677700,69
1464677760,65
1464677820,64
1464677880,63
1464677940,62
